x(1,1) = 0 
x(2,29) = 0 
x(3,40) = 1 
x(4,4) = 0 
x(5,4) = 0 
x(6,10) = 0 
x(7,17) = 0 
x(8,4) = 1 
x(9,15) = 0 
x(10,30) = 1 
x(11,24) = 0 
x(12,24) = 1 
x(13,13) = 0 
x(14,36) = 0 
x(15,9) = 0 
x(16,23) = 0 
x(17,25) = 0 
x(18,38) = 0 
x(19,43) = 0 
x(20,6) = 1 
x(21,25) = 0 
x(22,17) = 0 
x(23,2) = 0 
x(24,40) = 0 
x(25,39) = 0 
x(26,5) = 0 
x(27,27) = 1 
x(28,43) = 0 
x(29,20) = 0 
x(30,5) = 1 
x(31,35) = 0 
x(32,31) = 0 
x(33,10) = 1 
x(34,44) = 0 
x(35,48) = 0 
x(36,18) = 0 
x(37,13) = 0 
x(38,7) = 1 
x(39,13) = 0 
x(40,4) = 0 
x(41,9) = 1 
x(42,7) = 1 
x(43,36) = 1 
x(44,8) = 0 
x(45,37) = 1 
x(46,50) = 0 
x(47,40) = 0 
x(48,23) = 0 
x(49,33) = 0 
x(50,11) = 1 
x(51,33) = 1 
x(52,45) = 0 
x(53,6) = 0 
x(54,39) = 0 
x(55,39) = 0 
x(56,19) = 0 
x(57,31) = 0 
x(58,35) = 0 
x(59,8) = 0 
x(60,36) = 1 
x(61,34) = 0 
x(62,29) = 1 
x(63,44) = 1 
x(64,5) = 1 
x(65,19) = 0 
x(66,16) = 0 
x(67,35) = 0 
x(68,30) = 0 
x(69,40) = 0 
x(70,14) = 0 
x(71,37) = 0 
x(72,10) = 0 
x(73,4) = 0 
x(74,1) = 1 
x(75,9) = 1 
x(76,42) = 0 
x(77,25) = 0 
x(78,14) = 1 
x(79,11) = 0 
x(80,16) = 0 
x(81,1) = 0 
x(82,26) = 1 
x(83,9) = 0 
x(84,11) = 1 
x(85,46) = 1 
x(86,9) = 1 
x(87,36) = 1 
x(88,28) = 0 
x(89,32) = 0 
x(90,7) = 1 
x(91,8) = 0 
x(92,17) = 0 
x(93,31) = 0 
x(94,14) = 1 
x(95,45) = 1 
x(96,45) = 0 
x(97,5) = 0 
x(98,10) = 1 
x(99,36) = 0 
x(100,41) = 1 
x(101,20) = 1 
x(102,16) = 0 
x(103,21) = 1 
x(104,22) = 1 
x(105,25) = 0 
x(106,29) = 1 
x(107,39) = 0 
x(108,35) = 1 
x(109,1) = 0 
x(110,10) = 0 
x(111,17) = 1 
x(112,31) = 0 
x(113,39) = 0 
x(114,25) = 0 
x(115,20) = 1 
x(116,35) = 0 
x(117,14) = 0 
x(118,20) = 1 
x(119,11) = 1 
x(120,30) = 0 
x(121,36) = 1 
x(122,33) = 0 
x(123,6) = 0 
x(124,11) = 0 
x(125,9) = 1 
x(126,4) = 0 
x(127,28) = 0 
x(128,2) = 0 
x(129,48) = 0 
x(130,39) = 0 
x(131,28) = 1 
x(132,19) = 0 
x(133,31) = 1 
x(134,16) = 1 
x(135,40) = 0 
x(136,11) = 0 
x(137,40) = 0 
x(138,27) = 0 
x(139,29) = 0 
x(140,27) = 1 
x(141,4) = 1 
x(142,28) = 0 
x(143,30) = 1 
x(144,35) = 1 
x(145,41) = 0 
x(146,14) = 1 
x(147,17) = 0 
x(148,19) = 0 
x(149,14) = 1 
x(150,40) = 0 
x(151,47) = 0 
x(152,29) = 0 
x(153,22) = 0 
x(154,6) = 1 
x(155,17) = 0 
x(156,50) = 1 
x(157,3) = 0 
x(158,2) = 0 
x(159,22) = 1 
x(160,26) = 0 
x(161,23) = 0 
x(162,31) = 0 
x(163,27) = 1 
x(164,40) = 0 
x(165,36) = 0 
x(166,46) = 0 
x(167,12) = 1 
x(168,12) = 1 
x(169,11) = 0 
x(170,28) = 0 
x(171,48) = 0 
x(172,47) = 0 
x(173,1) = 0 
x(174,43) = 0 
x(175,23) = 0 
x(176,48) = 0 
x(177,50) = 0 
x(178,15) = 0 
x(179,32) = 0 
x(180,13) = 0 
x(181,39) = 1 
x(182,23) = 0 
x(183,46) = 0 
x(184,35) = 0 
x(185,22) = 1 
x(186,47) = 0 
x(187,9) = 1 
x(188,26) = 0 
x(189,15) = 0 
x(190,24) = 0 
x(191,48) = 1 
x(192,15) = 0 
x(193,6) = 1 
x(194,7) = 0 
x(195,14) = 0 
x(196,17) = 0 
x(197,16) = 0 
x(198,13) = 0 
x(199,25) = 1 
x(200,41) = 0 
x(201,7) = 0 
x(202,19) = 0 
x(203,40) = 0 
x(204,45) = 0 
x(205,24) = 0 
x(206,14) = 0 
x(207,3) = 1 
x(208,17) = 1 
x(209,22) = 0 
x(210,22) = 0 
x(211,3) = 1 
x(212,22) = 1 
x(213,40) = 1 
x(214,15) = 0 
x(215,43) = 0 
