x(1,55) = 1 
x(2,60) = 1 
x(3,28) = 1 
x(4,30) = 1 
x(5,70) = 0 
x(6,4) = 1 
x(7,55) = 1 
x(8,88) = 1 
x(9,12) = 1 
x(10,77) = 0 
x(11,74) = 1 
x(12,57) = 1 
x(13,2) = 0 
x(14,97) = 1 
x(15,13) = 1 
x(16,8) = 1 
x(17,44) = 1 
x(18,26) = 1 
x(19,5) = 1 
x(20,3) = 1 
x(21,76) = 1 
x(22,3) = 1 
x(23,29) = 1 
x(24,38) = 1 
x(25,43) = 1 
x(26,6) = 1 
x(27,79) = 1 
x(28,98) = 1 
x(29,80) = 0 
x(30,36) = 1 
x(31,86) = 1 
x(32,69) = 0 
x(33,29) = 1 
x(34,79) = 1 
x(35,37) = 1 
x(36,30) = 1 
x(37,91) = 0 
x(38,38) = 1 
x(39,53) = 1 
x(40,33) = 1 
x(41,41) = 1 
x(42,71) = 1 
x(43,68) = 1 
x(44,40) = 1 
x(45,10) = 0 
x(46,94) = 0 
x(47,3) = 1 
x(48,30) = 1 
x(49,26) = 0 
x(50,88) = 0 
x(51,83) = 0 
x(52,13) = 1 
x(53,24) = 1 
x(54,30) = 1 
x(55,72) = 1 
x(56,97) = 0 
x(57,64) = 1 
x(58,100) = 1 
x(59,23) = 1 
x(60,89) = 1 
x(61,38) = 1 
x(62,12) = 1 
x(63,21) = 0 
x(64,38) = 1 
x(65,100) = 1 
x(66,52) = 1 
x(67,22) = 0 
x(68,94) = 1 
x(69,8) = 1 
x(70,63) = 1 
x(71,29) = 1 
x(72,32) = 1 
x(73,9) = 1 
x(74,7) = 1 
x(75,48) = 1 
x(76,3) = 1 
x(77,66) = 1 
x(78,96) = 1 
x(79,25) = 0 
x(80,36) = 1 
x(81,54) = 1 
x(82,51) = 1 
x(83,15) = 1 
x(84,8) = 1 
x(85,13) = 0 
x(86,8) = 1 
x(87,19) = 1 
x(88,2) = 1 
x(89,48) = 1 
x(90,56) = 0 
x(91,53) = 1 
x(92,96) = 1 
x(93,6) = 1 
x(94,24) = 1 
x(95,55) = 0 
x(96,52) = 1 
x(97,10) = 0 
x(98,60) = 1 
x(99,76) = 1 
x(100,24) = 1 
x(101,47) = 1 
x(102,90) = 1 
x(103,80) = 1 
x(104,60) = 1 
x(105,29) = 1 
x(106,39) = 1 
x(107,19) = 1 
x(108,36) = 1 
x(109,3) = 0 
x(110,16) = 1 
x(111,4) = 1 
x(112,53) = 1 
x(113,8) = 1 
x(114,51) = 0 
x(115,32) = 1 
x(116,67) = 1 
x(117,36) = 1 
x(118,8) = 0 
x(119,6) = 1 
x(120,90) = 0 
x(121,68) = 1 
x(122,67) = 1 
x(123,54) = 1 
x(124,55) = 1 
x(125,10) = 0 
x(126,62) = 1 
x(127,31) = 0 
x(128,81) = 1 
x(129,18) = 1 
x(130,87) = 1 
x(131,95) = 1 
x(132,36) = 1 
x(133,37) = 1 
x(134,41) = 1 
x(135,9) = 1 
x(136,9) = 1 
x(137,34) = 1 
x(138,13) = 1 
x(139,36) = 1 
x(140,42) = 1 
x(141,41) = 1 
x(142,53) = 1 
x(143,41) = 1 
x(144,73) = 0 
x(145,81) = 1 
x(146,40) = 1 
x(147,11) = 1 
x(148,92) = 1 
x(149,88) = 1 
x(150,25) = 1 
x(151,74) = 1 
x(152,14) = 1 
x(153,34) = 1 
x(154,100) = 1 
x(155,46) = 0 
x(156,22) = 1 
x(157,95) = 1 
x(158,3) = 1 
x(159,74) = 1 
x(160,13) = 0 
x(161,9) = 0 
x(162,28) = 1 
x(163,3) = 1 
x(164,56) = 1 
x(165,98) = 1 
x(166,62) = 1 
x(167,50) = 1 
x(168,40) = 1 
x(169,77) = 1 
x(170,19) = 1 
x(171,10) = 1 
x(172,87) = 0 
x(173,16) = 1 
x(174,85) = 1 
x(175,4) = 0 
x(176,98) = 1 
x(177,61) = 1 
x(178,66) = 0 
x(179,4) = 1 
x(180,73) = 1 
x(181,93) = 1 
x(182,99) = 1 
x(183,6) = 1 
x(184,3) = 0 
x(185,19) = 1 
x(186,16) = 0 
x(187,78) = 0 
x(188,14) = 1 
x(189,56) = 0 
x(190,58) = 1 
x(191,25) = 1 
x(192,86) = 0 
x(193,65) = 1 
x(194,6) = 0 
x(195,17) = 1 
x(196,11) = 1 
x(197,15) = 1 
x(198,8) = 0 
x(199,83) = 0 
x(200,55) = 0 
x(201,18) = 1 
x(202,79) = 0 
x(203,82) = 1 
x(204,46) = 0 
x(205,28) = 1 
x(206,74) = 1 
x(207,3) = 0 
x(208,11) = 0 
x(209,23) = 1 
x(210,53) = 1 
x(211,92) = 1 
x(212,47) = 1 
x(213,96) = 1 
x(214,14) = 1 
x(215,54) = 1 
x(216,91) = 1 
x(217,19) = 1 
x(218,35) = 1 
x(219,18) = 1 
x(220,39) = 1 
x(221,1) = 0 
x(222,99) = 1 
x(223,16) = 1 
x(224,51) = 1 
x(225,7) = 0 
x(226,55) = 1 
x(227,23) = 1 
x(228,95) = 1 
x(229,85) = 0 
x(230,66) = 1 
x(231,43) = 1 
x(232,56) = 0 
x(233,67) = 0 
x(234,1) = 1 
x(235,32) = 1 
x(236,86) = 1 
x(237,18) = 1 
x(238,13) = 0 
x(239,48) = 1 
x(240,93) = 1 
x(241,14) = 1 
x(242,48) = 1 
x(243,26) = 1 
x(244,30) = 1 
x(245,72) = 1 
x(246,1) = 0 
x(247,71) = 1 
x(248,3) = 1 
x(249,9) = 1 
