x(1,36) = 0 
x(2,44) = 0 
x(3,27) = 0 
x(4,20) = 0 
x(5,11) = 0 
x(6,21) = 0 
x(7,10) = 0 
x(8,41) = 0 
x(9,8) = 0 
x(10,30) = 0 
x(11,18) = 0 
x(12,39) = 0 
x(13,15) = 0 
x(14,19) = 0 
x(15,27) = 0 
x(16,2) = 0 
x(17,46) = 0 
x(18,8) = 0 
x(19,15) = 0 
x(20,18) = 0 
x(21,17) = 0 
x(22,21) = 0 
x(23,17) = 0 
x(24,25) = 0 
x(25,16) = 0 
x(26,4) = 0 
x(27,29) = 0 
x(28,24) = 0 
x(29,32) = 0 
x(30,46) = 0 
x(31,8) = 0 
x(32,49) = 1 
x(33,4) = 0 
x(34,36) = 0 
x(35,23) = 0 
x(36,29) = 0 
x(37,47) = 0 
x(38,37) = 0 
x(39,45) = 0 
x(40,11) = 0 
x(41,13) = 0 
x(42,40) = 0 
x(43,20) = 0 
x(44,45) = 0 
x(45,7) = 0 
x(46,2) = 0 
x(47,50) = 0 
x(48,38) = 0 
x(49,11) = 0 
x(50,41) = 0 
x(51,48) = 0 
x(52,10) = 0 
x(53,18) = 0 
x(54,19) = 0 
x(55,48) = 0 
x(56,32) = 0 
x(57,31) = 0 
x(58,6) = 0 
x(59,3) = 1 
x(60,2) = 0 
x(61,42) = 0 
x(62,47) = 0 
x(63,32) = 0 
x(64,19) = 0 
x(65,22) = 1 
x(66,28) = 0 
x(67,31) = 0 
x(68,29) = 1 
x(69,5) = 0 
x(70,12) = 0 
x(71,1) = 0 
x(72,12) = 0 
x(73,8) = 0 
x(74,23) = 0 
x(75,6) = 0 
x(76,29) = 0 
x(77,23) = 0 
x(78,21) = 0 
x(79,11) = 0 
x(80,31) = 0 
x(81,16) = 0 
x(82,27) = 0 
x(83,39) = 0 
x(84,23) = 0 
x(85,25) = 0 
x(86,25) = 0 
x(87,2) = 0 
x(88,46) = 0 
x(89,49) = 0 
x(90,20) = 0 
x(91,28) = 1 
x(92,47) = 0 
x(93,21) = 0 
x(94,4) = 0 
x(95,6) = 0 
x(96,30) = 0 
x(97,47) = 0 
x(98,43) = 0 
x(99,28) = 0 
x(100,31) = 0 
x(101,17) = 0 
x(102,47) = 0 
x(103,19) = 0 
x(104,50) = 0 
x(105,8) = 0 
x(106,32) = 0 
x(107,47) = 0 
x(108,22) = 0 
x(109,50) = 0 
x(110,29) = 0 
x(111,37) = 0 
x(112,22) = 0 
x(113,14) = 0 
x(114,19) = 0 
x(115,3) = 0 
x(116,14) = 0 
x(117,1) = 0 
x(118,15) = 0 
x(119,12) = 0 
x(120,12) = 0 
x(121,6) = 0 
x(122,5) = 0 
x(123,11) = 0 
x(124,5) = 0 
x(125,48) = 0 
x(126,15) = 0 
x(127,47) = 0 
x(128,23) = 0 
x(129,7) = 0 
x(130,45) = 0 
x(131,37) = 0 
x(132,41) = 0 
x(133,18) = 0 
x(134,38) = 0 
x(135,23) = 0 
x(136,18) = 0 
x(137,48) = 0 
x(138,41) = 0 
x(139,49) = 0 
x(140,34) = 0 
x(141,23) = 0 
x(142,20) = 0 
x(143,43) = 1 
x(144,7) = 0 
x(145,4) = 0 
x(146,9) = 0 
x(147,8) = 0 
x(148,21) = 0 
x(149,31) = 0 
x(150,13) = 0 
x(151,48) = 0 
x(152,35) = 0 
x(153,13) = 0 
x(154,21) = 1 
x(155,6) = 1 
x(156,23) = 0 
x(157,8) = 0 
x(158,20) = 0 
x(159,21) = 0 
x(160,8) = 0 
x(161,16) = 0 
x(162,37) = 0 
x(163,5) = 0 
x(164,2) = 0 
x(165,29) = 0 
x(166,13) = 0 
x(167,39) = 0 
x(168,20) = 0 
x(169,13) = 0 
x(170,47) = 0 
x(171,18) = 0 
x(172,22) = 0 
x(173,48) = 0 
x(174,7) = 0 
x(175,24) = 0 
x(176,30) = 0 
x(177,32) = 0 
x(178,13) = 0 
x(179,9) = 0 
x(180,12) = 0 
x(181,36) = 0 
x(182,28) = 0 
x(183,3) = 0 
x(184,31) = 0 
x(185,28) = 0 
x(186,45) = 0 
x(187,45) = 0 
x(188,22) = 0 
x(189,47) = 0 
x(190,42) = 0 
x(191,32) = 0 
x(192,2) = 0 
x(193,14) = 0 
x(194,10) = 0 
x(195,3) = 0 
x(196,1) = 1 
x(197,42) = 0 
x(198,29) = 0 
x(199,27) = 0 
x(200,48) = 0 
x(201,22) = 1 
x(202,41) = 0 
x(203,36) = 0 
x(204,18) = 0 
x(205,32) = 0 
x(206,24) = 1 
x(207,36) = 0 
x(208,6) = 0 
x(209,31) = 0 
x(210,37) = 0 
x(211,36) = 0 
x(212,37) = 0 
x(213,43) = 0 
x(214,41) = 0 
x(215,1) = 0 
x(216,32) = 0 
x(217,15) = 0 
x(218,38) = 0 
x(219,44) = 0 
x(220,10) = 0 
x(221,22) = 0 
x(222,44) = 0 
x(223,1) = 0 
x(224,42) = 0 
x(225,33) = 0 
x(226,12) = 0 
x(227,20) = 0 
x(228,18) = 0 
x(229,4) = 0 
x(230,29) = 0 
x(231,2) = 1 
x(232,22) = 0 
x(233,3) = 0 
x(234,22) = 0 
x(235,12) = 0 
x(236,22) = 0 
x(237,45) = 1 
x(238,36) = 0 
x(239,5) = 0 
x(240,22) = 1 
x(241,31) = 0 
x(242,17) = 0 
x(243,27) = 0 
x(244,37) = 0 
x(245,46) = 0 
x(246,29) = 0 
x(247,44) = 0 
x(248,37) = 0 
x(249,50) = 0 
x(250,49) = 0 
x(251,16) = 0 
x(252,18) = 0 
x(253,46) = 1 
x(254,25) = 0 
x(255,10) = 1 
x(256,3) = 0 
x(257,27) = 0 
x(258,28) = 0 
x(259,29) = 1 
x(260,48) = 0 
x(261,9) = 0 
x(262,42) = 0 
x(263,39) = 1 
x(264,32) = 0 
x(265,34) = 0 
x(266,25) = 0 
x(267,2) = 0 
x(268,48) = 0 
x(269,22) = 0 
x(270,5) = 0 
x(271,4) = 1 
x(272,11) = 0 
x(273,35) = 0 
x(274,28) = 0 
x(275,4) = 0 
x(276,33) = 0 
x(277,50) = 0 
x(278,35) = 0 
x(279,1) = 0 
x(280,21) = 0 
x(281,50) = 0 
x(282,12) = 0 
x(283,22) = 1 
x(284,41) = 0 
x(285,35) = 0 
x(286,34) = 0 
x(287,17) = 0 
x(288,20) = 0 
x(289,50) = 0 
x(290,21) = 0 
x(291,35) = 0 
x(292,12) = 0 
x(293,36) = 0 
x(294,29) = 0 
x(295,50) = 0 
x(296,26) = 0 
x(297,34) = 0 
x(298,18) = 0 
x(299,13) = 0 
x(300,49) = 0 
x(301,41) = 0 
x(302,30) = 0 
x(303,24) = 0 
x(304,29) = 1 
x(305,16) = 0 
x(306,24) = 0 
x(307,34) = 0 
x(308,35) = 0 
x(309,47) = 0 
x(310,26) = 0 
x(311,22) = 0 
x(312,36) = 0 
x(313,48) = 0 
x(314,21) = 0 
x(315,49) = 1 
x(316,4) = 0 
x(317,3) = 0 
x(318,17) = 1 
x(319,43) = 0 
x(320,26) = 0 
x(321,47) = 0 
x(322,5) = 0 
x(323,46) = 0 
x(324,47) = 0 
x(325,42) = 0 
x(326,22) = 0 
x(327,23) = 0 
x(328,42) = 0 
x(329,13) = 0 
x(330,42) = 0 
x(331,35) = 0 
x(332,45) = 0 
x(333,31) = 0 
x(334,22) = 0 
x(335,40) = 0 
x(336,29) = 0 
x(337,29) = 0 
x(338,21) = 0 
x(339,4) = 0 
